,lat,long,score
0,50.8644,-114.2403,0.0
1,50.8644,-114.23694747474748,0.0
2,50.8644,-114.23359494949496,0.0
3,50.8644,-114.23024242424243,0.0
4,50.8644,-114.22688989898991,0.0
5,50.8644,-114.22353737373737,0.0
6,50.8644,-114.22018484848485,0.0
7,50.8644,-114.21683232323232,0.0
8,50.8644,-114.2134797979798,0.0
9,50.8644,-114.21012727272728,0.0
10,50.8644,-114.20677474747475,0.0
11,50.8644,-114.20342222222223,0.0
12,50.8644,-114.2000696969697,0.0
13,50.8644,-114.19671717171718,0.0
14,50.8644,-114.19336464646464,0.0
15,50.8644,-114.19001212121212,0.0
16,50.8644,-114.1866595959596,0.0
17,50.8644,-114.18330707070707,0.0
18,50.8644,-114.17995454545455,0.0
19,50.8644,-114.17660202020203,0.0
20,50.8644,-114.1732494949495,0.0
21,50.8644,-114.16989696969698,0.0
22,50.8644,-114.16654444444445,0.0
23,50.8644,-114.16319191919192,0.0
24,50.8644,-114.1598393939394,0.0
25,50.8644,-114.15648686868687,0.0
26,50.8644,-114.15313434343435,0.0
27,50.8644,-114.14978181818182,0.0
28,50.8644,-114.1464292929293,0.0
29,50.8644,-114.14307676767677,0.0
30,50.8644,-114.13972424242425,0.0
31,50.8644,-114.13637171717173,0.0
32,50.8644,-114.13301919191919,0.0
33,50.8644,-114.12966666666667,0.0
34,50.8644,-114.12631414141414,0.0
35,50.8644,-114.12296161616162,0.0
36,50.8644,-114.1196090909091,0.0
37,50.8644,-114.11625656565657,0.0
38,50.8644,-114.11290404040405,0.0
39,50.8644,-114.10955151515152,0.0
40,50.8644,-114.106198989899,0.0
41,50.8644,-114.10284646464646,0.0
42,50.8644,-114.09949393939394,0.0
43,50.8644,-114.09614141414141,0.0
44,50.8644,-114.09278888888889,0.0
45,50.8644,-114.08943636363637,0.0
46,50.8644,-114.08608383838384,0.0
47,50.8644,-114.08273131313132,0.0
48,50.8644,-114.0793787878788,0.0
49,50.8644,-114.07602626262627,0.0
50,50.8644,-114.07267373737373,0.0
51,50.8644,-114.06932121212121,0.0
52,50.8644,-114.06596868686869,0.0
53,50.8644,-114.06261616161616,0.0
54,50.8644,-114.05926363636364,0.0
55,50.8644,-114.05591111111112,0.0
56,50.8644,-114.05255858585859,0.015536986498850387
57,50.8644,-114.04920606060607,0.05826811865337705
58,50.8644,-114.04585353535354,0.18714230326340217
59,50.8644,-114.042501010101,0.4994211012662748
60,50.8644,-114.03914848484848,1.090985730797318
61,50.8644,-114.03579595959596,1.9332634971118732
62,50.8644,-114.03244343434343,2.7642750706369106
63,50.8644,-114.02909090909091,3.1797615739863145
64,50.8644,-114.02573838383839,2.937770447279468
65,50.8644,-114.02238585858586,2.1780208211393632
66,50.8644,-114.01903333333334,1.2951321071544775
67,50.8644,-114.01568080808082,0.6175258785852209
68,50.8644,-114.01232828282828,0.23605653626621886
69,50.8644,-114.00897575757575,0.07233574242898123
70,50.8644,-114.00562323232323,0.017767851673006128
71,50.8644,-114.0022707070707,0.0
72,50.8644,-113.99891818181818,0.0
73,50.8644,-113.99556565656566,0.0
74,50.8644,-113.99221313131314,0.0
75,50.8644,-113.98886060606061,0.0
76,50.8644,-113.98550808080809,0.0
77,50.8644,-113.98215555555555,0.0
