,lat,long,score
0,43.5928,-79.6193,0.0
1,43.5928,-79.61444242424243,0.0
2,43.5928,-79.60958484848484,0.0
3,43.5928,-79.60472727272727,0.0
4,43.5928,-79.59986969696969,0.0
5,43.5928,-79.59501212121212,0.0
6,43.5928,-79.59015454545454,0.0
7,43.5928,-79.58529696969697,0.0
8,43.5928,-79.58043939393939,0.0
9,43.5928,-79.57558181818182,0.0
10,43.5928,-79.57072424242423,0.044695685139777896
11,43.5928,-79.56586666666666,0.17299951410083467
12,43.5928,-79.56100909090908,0.54261082857355
13,43.5928,-79.55615151515151,1.3358832323360532
14,43.5928,-79.55129393939393,2.5599909997535923
15,43.5928,-79.54643636363636,3.8754457817335344
16,43.5928,-79.54157878787879,4.824564078703506
17,43.5928,-79.53672121212121,5.274682721402446
18,43.5928,-79.53186363636364,5.447863113964341
19,43.5928,-79.52700606060606,5.562391899142263
20,43.5928,-79.52214848484849,5.680715551498037
21,43.5928,-79.5172909090909,5.813674685344717
22,43.5928,-79.51243333333333,5.878930265375465
23,43.5928,-79.50757575757575,5.579044391976317
24,43.5928,-79.50271818181818,4.626224224297254
25,43.5928,-79.4978606060606,3.161763253595668
26,43.5928,-79.49300303030303,1.7201898029235838
27,43.5928,-79.48814545454545,0.7339631829028359
28,43.5928,-79.48328787878788,0.24593206899895523
29,43.5928,-79.47843030303031,0.0659417599427768
30,43.5928,-79.47357272727272,0.01468873090620736
31,43.5928,-79.46871515151516,0.0
32,43.5928,-79.46385757575757,0.0
33,43.5928,-79.459,0.0
34,43.5928,-79.45414242424242,0.0
35,43.5928,-79.44928484848485,0.0
36,43.5928,-79.44442727272727,0.0
37,43.5928,-79.4395696969697,0.0
38,43.5928,-79.43471212121212,0.0
39,43.5928,-79.42985454545455,0.0
40,43.5928,-79.42499696969696,0.0
41,43.5928,-79.4201393939394,0.0
42,43.5928,-79.41528181818181,0.0
43,43.5928,-79.41042424242424,0.0
44,43.5928,-79.40556666666667,0.0
45,43.5928,-79.40070909090909,0.0
46,43.5928,-79.39585151515152,0.0
47,43.5928,-79.39099393939394,0.0
48,43.5928,-79.38613636363637,0.0
49,43.5928,-79.38127878787878,0.0
50,43.5928,-79.37642121212122,0.0
51,43.5928,-79.37156363636363,0.0
52,43.5928,-79.36670606060606,0.0
53,43.5928,-79.36184848484848,0.0
54,43.5928,-79.35699090909091,0.0
55,43.5928,-79.35213333333333,0.0
56,43.5928,-79.34727575757576,0.0
57,43.5928,-79.34241818181819,0.0
58,43.5928,-79.3375606060606,0.0
59,43.5928,-79.33270303030304,0.0
60,43.5928,-79.32784545454545,0.0
61,43.5928,-79.32298787878788,0.0
62,43.5928,-79.3181303030303,0.0
63,43.5928,-79.31327272727273,0.0
64,43.5928,-79.30841515151515,0.0
65,43.5928,-79.30355757575758,0.0
66,43.5928,-79.2987,0.0
67,43.5928,-79.29384242424243,0.0
68,43.5928,-79.28898484848484,0.0
69,43.5928,-79.28412727272728,0.0
70,43.5928,-79.27926969696969,0.0
71,43.5928,-79.27441212121212,0.0
72,43.5928,-79.26955454545455,0.0
73,43.5928,-79.26469696969697,0.0
74,43.5928,-79.2598393939394,0.0
75,43.5928,-79.25498181818182,0.0
76,43.5928,-79.25012424242425,0.0
77,43.5928,-79.24526666666667,0.0
78,43.5928,-79.2404090909091,0.0
79,43.5928,-79.23555151515151,0.0
80,43.5928,-79.23069393939394,0.0
81,43.5928,-79.22583636363636,0.0
82,43.5928,-79.22097878787879,0.0
83,43.5928,-79.21612121212121,0.0
84,43.5928,-79.21126363636364,0.0
85,43.5928,-79.20640606060607,0.0
86,43.5928,-79.20154848484849,0.0
87,43.5928,-79.19669090909092,0.0
88,43.5928,-79.19183333333334,0.0
89,43.5928,-79.18697575757577,0.0
90,43.5928,-79.18211818181818,0.0
91,43.5928,-79.17726060606061,0.0
92,43.5928,-79.17240303030303,0.0
93,43.5928,-79.16754545454546,0.0
94,43.5928,-79.16268787878788,0.0
95,43.5928,-79.15783030303031,0.0
96,43.5928,-79.15297272727273,0.0
97,43.5928,-79.14811515151516,0.0
98,43.5928,-79.14325757575757,0.0
99,43.5928,-79.1384,0.0
100,43.59521919191919,-79.6193,0.0
101,43.59521919191919,-79.61444242424243,0.0
102,43.59521919191919,-79.60958484848484,0.0
103,43.59521919191919,-79.60472727272727,0.0
104,43.59521919191919,-79.59986969696969,0.0
105,43.59521919191919,-79.59501212121212,0.0
106,43.59521919191919,-79.59015454545454,0.0
107,43.59521919191919,-79.58529696969697,0.0
108,43.59521919191919,-79.58043939393939,0.0
109,43.59521919191919,-79.57558181818182,0.021892921198909274
110,43.59521919191919,-79.57072424242423,0.08517916977021375
111,43.59521919191919,-79.56586666666666,0.28879776818845704
112,43.59521919191919,-79.56100909090908,0.8253496166048937
113,43.59521919191919,-79.55615151515151,1.9057251392564452
114,43.59521919191919,-79.55129393939393,3.4727488601567473
115,43.59521919191919,-79.54643636363636,5.017202516240434
116,43.59521919191919,-79.54157878787879,5.963738936011179
117,43.59521919191919,-79.53672121212121,6.267706717754637
